filename,block,kx,ky,value,error
example.out,Bondy(q),0,0,8.93189535975041,0.0699066833103796
example.out,Bondy(q),0,1,1.3453371374424,0.003292798872740634
example.out,Bondy(q),0,2,1.39130479396642,0.005526011448297692
example.out,Bondy(q),0,3,1.49592982582476,0.01012593572141357
example.out,Bondy(q),0,4,1.4912836751413,0.00967826456848008
example.out,Bondy(q),1,0,1.20214537070082,0.0009664986812272392
example.out,Bondy(q),1,1,1.23325191004509,0.001083323690820192
example.out,Bondy(q),1,2,1.30739557889428,0.001906630086900064
example.out,Bondy(q),1,3,1.41859258538427,0.005038586995042196
example.out,Bondy(q),1,4,1.43626846476074,0.01351505697521758
example.out,Bondy(q),2,0,0.901649984266085,0.0009312295930886918
example.out,Bondy(q),2,1,0.927026503704639,0.0005826596735470535
example.out,Bondy(q),2,2,0.994989843171913,0.001443699725568964
example.out,Bondy(q),2,3,1.07803074105321,0.005460472038586077
example.out,Bondy(q),2,4,1.13675874160236,0.007912330261034582
example.out,Bondy(q),3,0,0.632058163553357,0.001971114645690283
example.out,Bondy(q),3,1,0.652314191587992,0.001717233098076209
example.out,Bondy(q),3,2,0.716403547412682,0.00207716374866022
example.out,Bondy(q),3,3,0.780873034631837,0.002604056201051706
example.out,Bondy(q),3,4,0.812110883915529,0.003571156603618921
example.out,Bondy(q),4,0,0.536963379125928,0.002832939926119918
example.out,Bondy(q),4,1,0.559043993849064,0.002238210211818859
example.out,Bondy(q),4,2,0.617063795078765,0.002443761093308895
example.out,Bondy(q),4,3,0.746857849368394,0.00822875116680941
example.out,Bondy(q),4,4,0.905815604881253,0.02861230481897086
