source_file,metric,i,j,value_upup,err_upup,value_updn,err_updn
example.out,density-density correlation fn,0,0,0.5,0.0,0.25,0.0
example.out,density-density correlation fn,0,1,0.19386,2.8e-05,0.25,0.0
example.out,density-density correlation fn,0,2,0.250318,1e-06,0.25,0.0
example.out,density-density correlation fn,0,3,0.247426,2.4e-05,0.25,0.0
example.out,density-density correlation fn,0,4,0.25005,1e-06,0.25,0.0
example.out,density-density correlation fn,1,1,0.250255,2e-06,0.25,0.0
example.out,density-density correlation fn,1,2,0.248961,1e-05,0.25,0.0
example.out,density-density correlation fn,1,3,0.25005,1e-06,0.25,0.0
example.out,density-density correlation fn,1,4,0.249454,6e-06,0.25,0.0
example.out,density-density correlation fn,2,2,0.250056,1e-06,0.25,0.0
example.out,density-density correlation fn,2,3,0.249817,6e-06,0.25,0.0
example.out,density-density correlation fn,2,4,0.250033,1e-06,0.25,0.0
example.out,density-density correlation fn,3,3,0.250024,1e-06,0.25,0.0
example.out,density-density correlation fn,3,4,0.249904,5e-06,0.25,0.0
example.out,density-density correlation fn,4,4,0.250016,1e-06,0.25,0.0
