source_file,metric,i,j,value,err
example.out,Green's function,0,0,0.5,0.0
example.out,Green's function,0,1,-0.12386918055881,0.0001446706943955766
example.out,Green's function,0,2,8.84477042769362e-12,8.904235494696548e-12
example.out,Green's function,0,3,-0.02971054818318571,0.0002104410301028966
example.out,Green's function,0,4,-1.42353670376906e-12,2.302576722832605e-12
example.out,Green's function,1,1,2.799686649830024e-12,1.027980131723209e-11
example.out,Green's function,1,2,0.01072276642244585,0.0001197561084502154
example.out,Green's function,1,3,-1.28241721059787e-12,1.085139985128885e-12
example.out,Green's function,1,4,0.01221587719734672,0.0001877137593977133
example.out,Green's function,2,2,9.922751451512869e-13,1.351860179703457e-12
example.out,Green's function,2,3,-0.002110337615416062,7.285266559101384e-05
example.out,Green's function,2,4,5.690448453970387e-14,5.923610080835927e-13
example.out,Green's function,3,3,1.834310185082149e-13,3.724261034430489e-13
example.out,Green's function,3,4,-2.099982085665072e-05,2.551571171146589e-05
example.out,Green's function,4,4,4.136806844094324e-13,5.042910295574968e-13
